ZIPCODE,DENSITY,Latitude,Longitude
90248,5.1941429496094615,33.8658064,-118.2935891
90249,5.791982712660254,33.901022,-118.3169714
90250,6.729347963926926,33.9127807,-118.3520389
90254,9.120221550822466,33.8600693,-118.3987842
90255,6.169229388260057,33.9756107,-118.2234229
90260,4.257666705409859,33.8922687,-118.3520389
90262,4.541905444482474,33.9198647,-118.2000277
90263,2.010524674218024,34.0327657,-118.7037647
90265,0.2537641444404322,34.0615492,-118.8363756
90266,7.264592465538295,33.8908371,-118.3987842
90270,5.614134736076023,33.9876248,-118.1854042
90272,0.966991147473608,34.0845245,-118.5447787
90274,2.6457890747684814,33.7793751,-118.3520389
90275,2.8402857229580127,33.7456493,-118.3637264
90277,6.761257820087814,33.8322129,-118.3870991
90278,9.342443733528851,33.865913,-118.3754131
90280,5.011937099099834,33.9432948,-118.188329
90290,0.2266752594341805,34.1076983,-118.61481
90291,6.121467042683929,33.9962144,-118.4688776
90292,6.852938480617798,33.9684276,-118.4571974
90293,4.247887522622288,33.9508728,-118.4455164
90301,5.236832762746945,33.9537917,-118.3520389
90302,5.662750607389073,33.9742906,-118.3520389
90303,5.06670904688654,33.93583520000001,-118.3315838
90304,4.316386644887165,33.9387862,-118.3608046
90305,5.322884822757572,33.9596334,-118.3286614
90401,11.651943141346912,34.0126379,-118.495155
90402,5.877797325270103,34.0352816,-118.5068325
90403,9.997099123489685,34.0279895,-118.495155
90404,7.763495083062268,34.02875,-118.4717975
90405,5.96098148047926,34.00974600000001,-118.4659576
90501,6.635774746954959,33.8291867,-118.3169714
90502,6.561675150688438,33.8331717,-118.2906661
90503,5.979596434461183,33.8409696,-118.3520389
90504,6.044367354353442,33.8673266,-118.3286614
90505,5.286756765923516,33.8101772,-118.3520389
90506,9.582057909674802,33.8844585,-118.329392
90601,2.3879793987666926,34.0080684,-118.0303189
90602,4.7687952720461695,33.9717336,-118.0215363
90603,4.398596457043335,33.9443011,-117.9931472
90604,3.8356431398067294,33.9324943,-118.0244639
90605,2.7462521169698544,33.9548846,-118.0273914
90606,3.6255751937007457,33.9722831,-118.0712981
90623,3.704612547968044,33.8477954,-118.0449554
90630,1.35430597295358,33.816539,-118.0361736
90631,1.0496031617219521,33.9226618,-117.9600466
90638,5.254903349667897,33.9045543,-118.0127534
90639,5.497006910356179,33.90528219999999,-118.0179682
90640,4.364526000472605,34.0149091,-118.1064156
90650,4.258694340700049,33.90777509999999,-118.0830047
90660,3.5419896260480046,33.9870228,-118.0947106
90670,7.612860290546886,33.9414796,-118.0712981
90701,5.084160814543831,33.8648303,-118.0800782
90703,5.324037745958969,33.8724552,-118.0595907
90706,4.419450468369303,33.8822393,-118.1239717
90710,4.965910688997107,33.7957752,-118.2965121
90712,4.452900665075891,33.8493162,-118.153228
90713,3.7912988379236627,33.8477257,-118.1181199
90715,3.5135247076254084,33.8413324,-118.0783974
90716,4.135178481515534,33.83029800000001,-118.0742249
90717,5.624313872976868,33.7950887,-118.319894
90723,4.813424079336628,33.89777370000001,-118.1649291
90731,2.527955531026646,33.7241323,-118.2643567
90732,4.209162685853374,33.7349075,-118.3140488
90744,2.632522608961111,33.7857948,-118.2643567
90745,4.934197373741919,33.8232001,-118.2585096
90746,4.735634237894248,33.8540061,-118.2585096
90747,6.811171637837239,33.8641714,-118.2558801
90755,4.690348739059818,33.8020217,-118.1678543
90802,4.827298471209215,33.7415317,-118.1941785
90803,4.17028737457456,33.7523035,-118.1298234
90804,6.398376713751821,33.7806646,-118.1503026
90805,3.8460487835504105,33.8640647,-118.1766294
90806,3.5517566835618295,33.8065036,-118.1912538
90807,4.845840398619841,33.8332465,-118.1766294
90808,4.230960045607865,33.8197825,-118.1064156
90810,4.542339042210038,33.8113701,-118.2234229
90813,5.578493569036666,33.7844997,-118.1971031
90814,6.23006175309623,33.7709051,-118.1429889
90815,3.8636348538989758,33.7963296,-118.1181199
90822,0.013379582752247422,33.8084732,-118.1495712
91001,0.607736745470223,34.2103962,-118.1239717
91006,3.7937006187458735,34.1172361,-118.0244639
91007,4.543117574692684,34.1216975,-118.0478826
